,mes,ADM2_PCODE,n_pixels,lon,lat,precipitacion,tmin,tmax,mes_anterior,anio_anterior,vim,pred
66144,1,100,1.0,-90.5488776,14.43502924,11.957325000000004,14.573679,24.74914,0.5988333333333333,0.5084666666666667,0.5369666666666667,0.5237749912134377
66459,2,100,1.0,-90.5488776,14.43502924,3.7172377,15.223828,26.23391,0.5369666666666667,0.4558999999999999,0.4734666666666666,0.4728571044501124
66774,3,100,1.0,-90.5488776,14.43502924,8.406713,15.688089,26.767462,0.4734666666666666,0.4288333333333333,0.4367666666666667,0.4378169246146224
67089,4,100,1.0,-90.5488776,14.43502924,57.95502,17.49472,27.414968,0.4367666666666667,0.4519666666666667,0.4424333333333333,0.4645191108921545
67404,5,100,1.0,-90.5488776,14.43502924,286.0923,17.966017,25.950335,0.4424333333333333,0.5418666666666666,0.5126666666666667,0.5455323301171107
67719,6,100,1.0,-90.5488776,14.43502924,275.09027,17.304117,23.693872,0.5126666666666667,0.6407666666666666,0.6144,0.6040784451501622
68034,7,100,1.0,-90.5488776,14.43502924,236.86021,17.303347,24.243994,0.6144,0.6634000000000001,0.6713666666666667,0.6664936317309481
68349,8,100,1.0,-90.5488776,14.43502924,231.36366,17.056164,24.490015,0.6713666666666667,0.6686666666666667,0.6724333333333332,0.6777776133855588
68664,9,100,1.0,-90.5488776,14.43502924,451.72705,16.997255,24.763342,0.6724333333333332,0.6908,0.6532666666666667,0.6799441412101621
68979,10,100,1.0,-90.5488776,14.43502924,399.2447,16.797646,24.283987,0.6532666666666667,0.6942,0.6723,0.6690959274305538
69294,11,100,1.0,-90.5488776,14.43502924,103.67072,16.260347,23.683191,0.6723,0.6550333333333334,0.67,0.6538172914359274
69609,12,100,1.0,-90.5488776,14.43502924,17.985626,14.036799,23.2909,0.67,0.5988333333333333,0.6181,0.6272403472182956
69924,1,100,1.0,-90.5488776,14.43502924,14.406805,14.117933,23.90507,0.6181,0.5369666666666667,0.5412666666666667,0.5498002675183166
70239,2,100,1.0,-90.5488776,14.43502924,8.377712,13.799602,24.568937,0.5412666666666667,0.4734666666666666,0.4705,0.48296743042015955
70554,3,100,1.0,-90.5488776,14.43502924,4.8913717,15.29475,25.742395,0.4705,0.4367666666666667,0.4229333333333334,0.44179011372030214
70869,4,100,1.0,-90.5488776,14.43502924,69.21048,17.538656,25.614931,0.4229333333333334,0.4424333333333333,0.4241999999999999,0.458100749284567
