date,category,commodity,unit,gtqprice,usdprice
1998-05-15,pulses and nuts,Beans (red),100 Pounds,278.12,44.2866
1998-05-15,pulses and nuts,Beans (white),100 Pounds,389.38,62.0032
1998-05-15,vegetables and fruits,Bananas (medium size),100 Pounds,60.08,9.5669
1998-05-15,vegetables and fruits,Cabbage,27 KG,26.25,4.1799
1998-05-15,vegetables and fruits,Carrots,13.92 KG,24.5,3.9013
1998-05-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,200.0,31.8471
1998-05-15,vegetables and fruits,Plantains (medium size),20.5 KG,56.58,9.0096
1998-06-15,cereals and tubers,Maize (white),100 Pounds,75.06,11.9713
1998-06-15,cereals and tubers,Maize (yellow),100 Pounds,77.56,12.37
1998-06-15,cereals and tubers,Potatoes,100 Pounds,128.85,20.5502
1998-06-15,cereals and tubers,Rice (high quality),100 Pounds,206.88,32.9952
1998-06-15,cereals and tubers,Rice (medium quality),100 Pounds,184.38,29.4067
1998-06-15,cereals and tubers,Sorghum,100 Pounds,54.23,8.6491
1998-06-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,136.56,21.7799
1998-06-15,pulses and nuts,Beans (black),100 Pounds,326.56,52.0829
1998-06-15,pulses and nuts,Beans (red),100 Pounds,320.83,51.1691
1998-06-15,pulses and nuts,Beans (white),100 Pounds,379.17,60.4737
1998-06-15,vegetables and fruits,Bananas (medium size),100 Pounds,60.0,9.5694
1998-06-15,vegetables and fruits,Cabbage,27 KG,26.31,4.1962
1998-06-15,vegetables and fruits,Carrots,13.92 KG,26.75,4.2663
1998-06-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,177.94,28.3796
1998-06-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,22.67,3.6156
1998-06-15,vegetables and fruits,Plantains (medium size),20.5 KG,55.4,8.8357
1998-07-15,cereals and tubers,Maize (white),100 Pounds,88.5,14.0032
1998-07-15,cereals and tubers,Maize (yellow),100 Pounds,90.23,14.2769
1998-07-15,cereals and tubers,Potatoes,100 Pounds,147.86,23.3956
1998-07-15,cereals and tubers,Rice (high quality),100 Pounds,199.17,31.5142
1998-07-15,cereals and tubers,Rice (medium quality),100 Pounds,180.0,28.481
1998-07-15,cereals and tubers,Sorghum,100 Pounds,57.5,9.0981
1998-07-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,121.67,19.2516
1998-07-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,88.89,14.0649
1998-07-15,pulses and nuts,Beans (black),100 Pounds,360.0,56.962
1998-07-15,pulses and nuts,Beans (red),100 Pounds,293.57,46.4509
1998-07-15,pulses and nuts,Beans (white),100 Pounds,391.67,61.9731
1998-07-15,vegetables and fruits,Bananas (medium size),100 Pounds,61.82,9.7816
1998-07-15,vegetables and fruits,Cabbage,27 KG,28.58,4.5222
1998-07-15,vegetables and fruits,Carrots,13.92 KG,30.45,4.818
1998-07-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,140.45,22.2231
1998-07-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,30.86,4.8829
1998-07-15,vegetables and fruits,Plantains (medium size),20.5 KG,60.0,9.4937
1998-08-15,cereals and tubers,Maize (white),100 Pounds,80.25,12.4884
1998-08-15,cereals and tubers,Maize (yellow),100 Pounds,88.62,13.7909
1998-08-15,cereals and tubers,Potatoes,100 Pounds,71.92,11.1921
1998-08-15,cereals and tubers,Rice (high quality),100 Pounds,200.0,31.1236
1998-08-15,cereals and tubers,Rice (medium quality),100 Pounds,180.0,28.0113
1998-08-15,cereals and tubers,Sorghum,100 Pounds,56.15,8.738
1998-08-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,65.83,10.2443
1998-08-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,81.67,12.7093
1998-08-15,pulses and nuts,Beans (black),100 Pounds,340.83,53.0394
1998-08-15,pulses and nuts,Beans (red),100 Pounds,258.08,40.162
1998-08-15,pulses and nuts,Beans (white),100 Pounds,406.92,63.3242
1998-08-15,vegetables and fruits,Bananas (medium size),100 Pounds,59.85,9.3138
1998-08-15,vegetables and fruits,Cabbage,27 KG,19.42,3.0221
1998-08-15,vegetables and fruits,Carrots,13.92 KG,27.08,4.2141
1998-08-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,140.0,21.7866
1998-08-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,30.0,4.6685
1998-08-15,vegetables and fruits,Plantains (medium size),20.5 KG,56.0,8.7146
1998-09-15,cereals and tubers,Maize (white),100 Pounds,89.25,13.7308
1998-09-15,cereals and tubers,Maize (yellow),100 Pounds,88.08,13.5508
1998-09-15,cereals and tubers,Potatoes,100 Pounds,70.38,10.8277
1998-09-15,cereals and tubers,Rice (high quality),100 Pounds,197.5,30.3846
1998-09-15,cereals and tubers,Rice (medium quality),100 Pounds,178.75,27.5
1998-09-15,cereals and tubers,Sorghum,100 Pounds,56.92,8.7569
1998-09-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,41.25,6.3462
1998-09-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,71.92,11.0646
1998-09-15,pulses and nuts,Beans (black),100 Pounds,282.08,43.3969
1998-09-15,pulses and nuts,Beans (red),100 Pounds,230.77,35.5031
1998-09-15,pulses and nuts,Beans (white),100 Pounds,395.38,60.8277
1998-09-15,vegetables and fruits,Bananas (medium size),100 Pounds,60.54,9.3138
1998-09-15,vegetables and fruits,Cabbage,27 KG,10.5,1.6154
1998-09-15,vegetables and fruits,Carrots,13.92 KG,29.17,4.4877
1998-09-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,135.0,20.7692
1998-09-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,24.62,3.7877
1998-09-15,vegetables and fruits,Plantains (medium size),20.5 KG,57.31,8.8169
1998-10-15,cereals and tubers,Maize (white),100 Pounds,64.17,9.827
1998-10-15,cereals and tubers,Maize (yellow),100 Pounds,78.85,12.075
1998-10-15,cereals and tubers,Potatoes,100 Pounds,85.77,13.1348
1998-10-15,cereals and tubers,Rice (high quality),100 Pounds,202.5,31.0107
1998-10-15,cereals and tubers,Rice (medium quality),100 Pounds,180.0,27.5651
1998-10-15,cereals and tubers,Sorghum,100 Pounds,55.0,8.4227
1998-10-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,60.83,9.3155
1998-10-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,62.31,9.5421
1998-10-15,pulses and nuts,Beans (black),100 Pounds,276.25,42.3047
1998-10-15,pulses and nuts,Beans (red),100 Pounds,225.77,34.5743
1998-10-15,pulses and nuts,Beans (white),100 Pounds,400.0,61.2557
1998-10-15,vegetables and fruits,Bananas (medium size),100 Pounds,60.15,9.2113
1998-10-15,vegetables and fruits,Cabbage,27 KG,9.75,1.4931
1998-10-15,vegetables and fruits,Carrots,13.92 KG,27.92,4.2757
1998-10-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,111.36,17.0536
1998-10-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,23.0,3.5222
1998-10-15,vegetables and fruits,Plantains (medium size),20.5 KG,56.92,8.7167
1998-11-15,cereals and tubers,Maize (white),100 Pounds,66.64,10.0825
1998-11-15,cereals and tubers,Maize (yellow),100 Pounds,69.67,10.541
1998-11-15,cereals and tubers,Potatoes,100 Pounds,111.79,16.9137
1998-11-15,cereals and tubers,Rice (high quality),100 Pounds,207.5,31.3945
1998-11-15,cereals and tubers,Rice (medium quality),100 Pounds,186.43,28.2066
1998-11-15,cereals and tubers,Sorghum,100 Pounds,54.0,8.1701
1998-11-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,79.58,12.0403
1998-11-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,68.08,10.3004
1998-11-15,pulses and nuts,Beans (black),100 Pounds,383.57,58.0336
1998-11-15,pulses and nuts,Beans (red),100 Pounds,280.36,42.4181
1998-11-15,pulses and nuts,Beans (white),100 Pounds,438.0,66.2688
1998-11-15,vegetables and fruits,Bananas (medium size),100 Pounds,61.69,9.3336
1998-11-15,vegetables and fruits,Cabbage,27 KG,9.67,1.4631
1998-11-15,vegetables and fruits,Carrots,13.92 KG,26.0,3.9338
1998-11-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,142.14,21.5056
1998-11-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,29.0,4.3877
1998-11-15,vegetables and fruits,Plantains (medium size),20.5 KG,60.14,9.0991
1998-12-15,cereals and tubers,Maize (white),100 Pounds,54.5,8.1709
1998-12-15,cereals and tubers,Maize (yellow),100 Pounds,63.18,9.4723
1998-12-15,cereals and tubers,Potatoes,100 Pounds,162.73,24.3973
1998-12-15,cereals and tubers,Rice (high quality),100 Pounds,204.17,30.6102
1998-12-15,cereals and tubers,Rice (medium quality),100 Pounds,185.83,27.8606
1998-12-15,cereals and tubers,Sorghum,100 Pounds,50.27,7.5367
1998-12-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,112.27,16.8321
1998-12-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,91.82,13.7661
1998-12-15,pulses and nuts,Beans (black),100 Pounds,336.67,50.4753
1998-12-15,pulses and nuts,Beans (red),100 Pounds,274.09,41.093
1998-12-15,pulses and nuts,Beans (white),100 Pounds,403.5,60.4948
1998-12-15,vegetables and fruits,Bananas (medium size),100 Pounds,60.91,9.1319
1998-12-15,vegetables and fruits,Cabbage,27 KG,10.0,1.4993
1998-12-15,vegetables and fruits,Carrots,13.92 KG,26.0,3.8981
1998-12-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,156.67,23.4888
1998-12-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,27.91,4.1844
1998-12-15,vegetables and fruits,Plantains (medium size),20.5 KG,58.18,8.7226
