date,category,commodity,unit,gtqprice,usdprice
2006-04-15,cereals and tubers,"Rice (ordinary, first quality)",45 KG,185.0,24.3503
2006-04-15,cereals and tubers,"Rice (ordinary, second quality)",46 KG,170.0,22.3759
2006-04-15,cereals and tubers,Sorghum,100 Pounds,81.11,10.6759
2006-04-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,51.67,6.801
2006-04-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,104.44,13.7467
2006-04-15,pulses and nuts,Beans (black),100 Pounds,272.22,35.8304
2006-04-15,pulses and nuts,Beans (black),45 KG,272.22,35.8304
2006-04-15,pulses and nuts,Beans (red),100 Pounds,298.89,39.3408
2006-04-15,pulses and nuts,Beans (white),100 Pounds,321.11,42.2655
2006-04-15,vegetables and fruits,"Avocados (Hass, medium size)",7 KG,91.88,12.0935
2006-04-15,vegetables and fruits,Bananas (medium size),100 Pounds,76.11,10.0178
2006-04-15,vegetables and fruits,Cabbage,27 KG,11.67,1.536
2006-04-15,vegetables and fruits,Carrots,13.92 KG,20.0,2.6325
2006-04-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,191.11,25.1545
2006-04-15,vegetables and fruits,Melons (cantaloupe),75 KG,133.33,17.5493
2006-04-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,30.0,3.9487
2006-04-15,vegetables and fruits,Pineapples,105 KG,194.44,25.5928
2006-04-15,vegetables and fruits,Plantains (big size),29 KG,84.44,11.1142
2006-04-15,vegetables and fruits,Plantains (medium size),20.5 KG,74.44,9.798
2006-04-15,vegetables and fruits,Strawberries,40 Pounds,166.67,21.9376
2006-04-15,vegetables and fruits,Watermelons,177.35 KG,400.0,52.6492
2006-05-15,cereals and tubers,Maize (white),100 Pounds,84.92,11.218
2006-05-15,cereals and tubers,Maize (yellow),100 Pounds,87.31,11.5337
2006-05-15,cereals and tubers,Potatoes,100 Pounds,190.0,25.0991
2006-05-15,cereals and tubers,Rice (high quality),100 Pounds,185.0,24.4386
2006-05-15,cereals and tubers,Rice (medium quality),100 Pounds,170.0,22.4571
2006-05-15,cereals and tubers,"Rice (ordinary, first quality)",45 KG,185.0,24.4386
2006-05-15,cereals and tubers,"Rice (ordinary, second quality)",46 KG,170.0,22.4571
2006-05-15,cereals and tubers,Sorghum,100 Pounds,85.45,11.288
2006-05-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,68.08,8.9934
2006-05-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,72.31,9.5522
2006-05-15,pulses and nuts,Beans (black),100 Pounds,291.15,38.461
2006-05-15,pulses and nuts,Beans (black),45 KG,291.43,38.498
2006-05-15,pulses and nuts,Beans (red),100 Pounds,313.85,41.4597
2006-05-15,pulses and nuts,Beans (white),100 Pounds,306.92,40.5443
2006-05-15,vegetables and fruits,"Avocados (Hass, medium size)",7 KG,93.85,12.3976
2006-05-15,vegetables and fruits,Bananas (medium size),100 Pounds,75.0,9.9075
2006-05-15,vegetables and fruits,Cabbage,27 KG,14.62,1.9313
2006-05-15,vegetables and fruits,Carrots,13.92 KG,22.69,2.9974
2006-05-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,129.23,17.0713
2006-05-15,vegetables and fruits,Melons (cantaloupe),75 KG,253.85,33.5337
2006-05-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,35.0,4.6235
2006-05-15,vegetables and fruits,Pineapples,105 KG,192.31,25.4042
2006-05-15,vegetables and fruits,Plantains (big size),29 KG,88.08,11.6354
2006-05-15,vegetables and fruits,Plantains (medium size),20.5 KG,78.08,10.3144
2006-05-15,vegetables and fruits,Strawberries,40 Pounds,119.23,15.7503
2006-05-15,vegetables and fruits,Watermelons,177.35 KG,400.0,52.8402
2006-06-15,cereals and tubers,Maize (white),100 Pounds,95.85,12.5953
2006-06-15,cereals and tubers,Maize (yellow),100 Pounds,95.0,12.4836
2006-06-15,cereals and tubers,Potatoes,100 Pounds,190.77,25.0683
2006-06-15,cereals and tubers,Rice (high quality),100 Pounds,185.0,24.3101
2006-06-15,cereals and tubers,Rice (medium quality),100 Pounds,170.0,22.339
2006-06-15,cereals and tubers,"Rice (ordinary, first quality)",45 KG,185.0,24.3101
2006-06-15,cereals and tubers,"Rice (ordinary, second quality)",46 KG,170.0,22.339
2006-06-15,cereals and tubers,Sorghum,100 Pounds,84.38,11.088
2006-06-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,81.54,10.7148
2006-06-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,59.23,7.7832
2006-06-15,pulses and nuts,Beans (black),100 Pounds,296.92,39.0171
2006-06-15,pulses and nuts,Beans (black),45 KG,296.92,39.0171
2006-06-15,pulses and nuts,Beans (red),100 Pounds,298.08,39.1695
2006-06-15,pulses and nuts,Beans (white),100 Pounds,309.23,40.6347
2006-06-15,vegetables and fruits,"Avocados (Hass, medium size)",7 KG,96.54,12.6859
2006-06-15,vegetables and fruits,Bananas (medium size),100 Pounds,79.23,10.4113
2006-06-15,vegetables and fruits,Cabbage,27 KG,27.31,3.5887
2006-06-15,vegetables and fruits,Carrots,13.92 KG,26.15,3.4363
2006-06-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,100.0,13.1406
2006-06-15,vegetables and fruits,Melons (cantaloupe),75 KG,280.77,36.8949
2006-06-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,36.54,4.8016
2006-06-15,vegetables and fruits,Pineapples,105 KG,203.85,26.7871
2006-06-15,vegetables and fruits,Plantains (big size),29 KG,84.23,11.0683
2006-06-15,vegetables and fruits,Plantains (medium size),20.5 KG,72.69,9.5519
2006-06-15,vegetables and fruits,Strawberries,40 Pounds,234.62,30.8305
2006-06-15,vegetables and fruits,Watermelons,177.35 KG,407.69,53.5729
2006-07-15,cereals and tubers,Maize (white),100 Pounds,98.23,12.9405
2006-07-15,cereals and tubers,Maize (yellow),100 Pounds,102.69,13.5281
2006-07-15,cereals and tubers,Potatoes,100 Pounds,125.77,16.5685
2006-07-15,cereals and tubers,Rice (high quality),100 Pounds,184.54,24.3107
2006-07-15,cereals and tubers,Rice (medium quality),100 Pounds,170.0,22.3953
2006-07-15,cereals and tubers,"Rice (ordinary, first quality)",45 KG,184.54,24.3107
2006-07-15,cereals and tubers,"Rice (ordinary, second quality)",46 KG,170.0,22.3953
2006-07-15,cereals and tubers,Sorghum,100 Pounds,85.0,11.1976
2006-07-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,94.23,12.4136
2006-07-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,50.0,6.5868
2006-07-15,pulses and nuts,Beans (black),100 Pounds,290.77,38.3051
2006-07-15,pulses and nuts,Beans (black),45 KG,290.77,38.3051
2006-07-15,pulses and nuts,Beans (red),100 Pounds,289.62,38.1536
2006-07-15,pulses and nuts,Beans (white),100 Pounds,354.62,46.7165
2006-07-15,vegetables and fruits,"Avocados (Hass, medium size)",7 KG,105.77,13.9338
2006-07-15,vegetables and fruits,Bananas (medium size),100 Pounds,80.0,10.5389
2006-07-15,vegetables and fruits,Cabbage,27 KG,28.08,3.6992
2006-07-15,vegetables and fruits,Carrots,13.92 KG,40.0,5.2695
2006-07-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,100.0,13.1737
2006-07-15,vegetables and fruits,Melons (cantaloupe),75 KG,366.67,48.304
2006-07-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,30.38,4.0022
2006-07-15,vegetables and fruits,Peach (medium size),6.85 KG,92.0,12.1198
2006-07-15,vegetables and fruits,Pineapples,105 KG,211.54,27.8676
2006-07-15,vegetables and fruits,Plantains (big size),29 KG,81.92,10.7919
2006-07-15,vegetables and fruits,Plantains (medium size),20.5 KG,71.92,9.4745
2006-07-15,vegetables and fruits,Strawberries,40 Pounds,169.23,22.2938
2006-07-15,vegetables and fruits,Watermelons,177.35 KG,700.0,92.2158
2006-08-15,cereals and tubers,Maize (white),100 Pounds,99.69,13.1691
2006-08-15,cereals and tubers,Maize (yellow),100 Pounds,108.7,14.3593
2006-08-15,cereals and tubers,Potatoes,100 Pounds,114.92,15.1816
2006-08-15,cereals and tubers,Rice (high quality),100 Pounds,189.46,25.0277
2006-08-15,cereals and tubers,Rice (medium quality),100 Pounds,179.62,23.7279
2006-08-15,cereals and tubers,"Rice (ordinary, first quality)",45 KG,189.46,25.0277
2006-08-15,cereals and tubers,"Rice (ordinary, second quality)",46 KG,179.62,23.7279
2006-08-15,cereals and tubers,Sorghum,100 Pounds,85.0,11.2285
2006-08-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,76.54,10.111
2006-08-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,50.0,6.605
2006-08-15,pulses and nuts,Beans (black),100 Pounds,280.0,36.9881
2006-08-15,pulses and nuts,Beans (black),45 KG,280.0,36.9881
2006-08-15,pulses and nuts,Beans (red),100 Pounds,285.0,37.6486
2006-08-15,pulses and nuts,Beans (white),100 Pounds,370.38,48.9273
2006-08-15,vegetables and fruits,"Avocados (Hass, medium size)",7 KG,111.54,14.7345
2006-08-15,vegetables and fruits,Bananas (medium size),100 Pounds,80.0,10.568
2006-08-15,vegetables and fruits,Cabbage,27 KG,17.69,2.3369
2006-08-15,vegetables and fruits,Carrots,13.92 KG,30.38,4.0132
2006-08-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,90.77,11.9908
2006-08-15,vegetables and fruits,Melons (cantaloupe),75 KG,340.0,44.9141
2006-08-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,23.08,3.0489
2006-08-15,vegetables and fruits,Peach (medium size),6.85 KG,79.09,10.4478
2006-08-15,vegetables and fruits,Pineapples,105 KG,242.31,32.0092
2006-08-15,vegetables and fruits,Plantains (big size),29 KG,76.54,10.111
2006-08-15,vegetables and fruits,Plantains (medium size),20.5 KG,67.69,8.9419
2006-08-15,vegetables and fruits,Strawberries,40 Pounds,173.08,22.8639
2006-08-15,vegetables and fruits,Watermelons,177.35 KG,492.31,65.0343
2006-09-15,cereals and tubers,Maize (white),100 Pounds,94.83,12.4776
2006-09-15,cereals and tubers,Maize (yellow),100 Pounds,100.0,13.1579
2006-09-15,cereals and tubers,Potatoes,100 Pounds,91.88,12.0888
2006-09-15,cereals and tubers,Rice (high quality),100 Pounds,200.42,26.3711
2006-09-15,cereals and tubers,Rice (medium quality),100 Pounds,190.0,25.0
2006-09-15,cereals and tubers,"Rice (ordinary, first quality)",45 KG,200.42,26.3711
2006-09-15,cereals and tubers,"Rice (ordinary, second quality)",46 KG,190.0,25.0
2006-09-15,cereals and tubers,Sorghum,100 Pounds,103.33,13.5961
2006-09-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,70.83,9.3197
2006-09-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,50.0,6.5789
2006-09-15,pulses and nuts,Beans (black),100 Pounds,286.25,37.6645
2006-09-15,pulses and nuts,Beans (black),45 KG,286.25,37.6645
2006-09-15,pulses and nuts,Beans (red),100 Pounds,287.92,37.8842
2006-09-15,pulses and nuts,Beans (white),100 Pounds,407.5,53.6184
2006-09-15,vegetables and fruits,"Avocados (Hass, medium size)",7 KG,87.08,11.4579
2006-09-15,vegetables and fruits,Bananas (medium size),100 Pounds,80.0,10.5263
2006-09-15,vegetables and fruits,Cabbage,27 KG,18.75,2.4671
2006-09-15,vegetables and fruits,Carrots,13.92 KG,22.08,2.9053
2006-09-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,80.0,10.5263
2006-09-15,vegetables and fruits,Melons (cantaloupe),75 KG,308.33,40.5697
2006-09-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,20.0,2.6316
2006-09-15,vegetables and fruits,Peach (medium size),6.85 KG,88.75,11.6776
2006-09-15,vegetables and fruits,Pineapples,105 KG,220.83,29.0566
2006-09-15,vegetables and fruits,Plantains (big size),29 KG,72.92,9.5947
2006-09-15,vegetables and fruits,Plantains (medium size),20.5 KG,61.67,8.1145
2006-09-15,vegetables and fruits,Strawberries,40 Pounds,166.67,21.9303
2006-09-15,vegetables and fruits,Watermelons,177.35 KG,400.0,52.6316
2006-10-15,cereals and tubers,Maize (white),100 Pounds,87.5,11.5103
2006-10-15,cereals and tubers,Maize (yellow),100 Pounds,94.17,12.3877
2006-10-15,cereals and tubers,Potatoes,100 Pounds,89.38,11.757
2006-10-15,cereals and tubers,Rice (high quality),100 Pounds,209.17,27.5156
2006-10-15,cereals and tubers,Rice (medium quality),100 Pounds,196.67,25.8712
2006-10-15,cereals and tubers,"Rice (ordinary, first quality)",45 KG,209.17,27.5156
2006-10-15,cereals and tubers,"Rice (ordinary, second quality)",46 KG,196.67,25.8712
2006-10-15,cereals and tubers,Sorghum,100 Pounds,119.58,15.7303
2006-10-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,103.64,13.6335
2006-10-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,73.33,9.6463
2006-10-15,pulses and nuts,Beans (black),100 Pounds,280.42,36.8882
2006-10-15,pulses and nuts,Beans (black),45 KG,280.42,36.8882
2006-10-15,pulses and nuts,Beans (red),100 Pounds,290.42,38.2037
2006-10-15,pulses and nuts,Beans (white),100 Pounds,473.75,62.3201
2006-10-15,vegetables and fruits,"Avocados (Hass, medium size)",7 KG,75.0,9.866
2006-10-15,vegetables and fruits,Bananas (medium size),100 Pounds,80.0,10.5237
2006-10-15,vegetables and fruits,Cabbage,27 KG,14.17,1.864
2006-10-15,vegetables and fruits,Carrots,13.92 KG,23.33,3.069
2006-10-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,93.33,12.2772
2006-10-15,vegetables and fruits,Melons (cantaloupe),75 KG,308.33,40.5597
2006-10-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,20.83,2.7401
2006-10-15,vegetables and fruits,Pineapples,105 KG,179.17,23.5692
2006-10-15,vegetables and fruits,Plantains (big size),29 KG,80.0,10.5237
2006-10-15,vegetables and fruits,Plantains (medium size),20.5 KG,70.0,9.2082
2006-10-15,vegetables and fruits,Strawberries,40 Pounds,166.67,21.9248
2006-10-15,vegetables and fruits,Watermelons,177.35 KG,391.67,51.5228
2006-11-15,cereals and tubers,Maize (white),100 Pounds,88.08,11.6047
2006-11-15,cereals and tubers,Maize (yellow),100 Pounds,92.92,12.2424
2006-11-15,cereals and tubers,Potatoes,100 Pounds,82.64,10.888
2006-11-15,cereals and tubers,Rice (high quality),100 Pounds,201.67,26.5705
2006-11-15,cereals and tubers,Rice (medium quality),100 Pounds,191.25,25.1976
2006-11-15,cereals and tubers,"Rice (ordinary, first quality)",45 KG,201.67,26.5705
2006-11-15,cereals and tubers,"Rice (ordinary, second quality)",46 KG,191.25,25.1976
2006-11-15,cereals and tubers,Sorghum,100 Pounds,127.08,16.7431
2006-11-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,100.0,13.1752
2006-11-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,148.33,19.5428
2006-11-15,pulses and nuts,Beans (black),100 Pounds,272.08,35.8472
2006-11-15,pulses and nuts,Beans (black),45 KG,272.08,35.8472
2006-11-15,pulses and nuts,Beans (red),100 Pounds,284.58,37.4941
2006-11-15,pulses and nuts,Beans (white),100 Pounds,482.92,63.6258
2006-11-15,vegetables and fruits,"Avocados (Hass, medium size)",7 KG,73.75,9.7167
2006-11-15,vegetables and fruits,Bananas (medium size),100 Pounds,80.83,10.6495
2006-11-15,vegetables and fruits,Cabbage,27 KG,11.25,1.4822
2006-11-15,vegetables and fruits,Carrots,13.92 KG,20.83,2.7444
2006-11-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,155.0,20.4216
2006-11-15,vegetables and fruits,Melons (cantaloupe),75 KG,233.33,30.7418
2006-11-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,22.92,3.0198
2006-11-15,vegetables and fruits,Pineapples,105 KG,150.83,19.8722
2006-11-15,vegetables and fruits,Plantains (big size),29 KG,80.42,10.5955
2006-11-15,vegetables and fruits,Plantains (medium size),20.5 KG,70.42,9.278
2006-11-15,vegetables and fruits,Strawberries,40 Pounds,195.83,25.8011
2006-11-15,vegetables and fruits,Watermelons,177.35 KG,441.67,58.191
2006-12-15,cereals and tubers,Maize (white),100 Pounds,91.2,12.0317
2006-12-15,cereals and tubers,Maize (yellow),100 Pounds,99.18,13.0844
2006-12-15,cereals and tubers,Potatoes,100 Pounds,102.81,13.5633
2006-12-15,cereals and tubers,Rice (high quality),100 Pounds,205.0,27.0449
2006-12-15,cereals and tubers,Rice (medium quality),100 Pounds,195.0,25.7256
2006-12-15,cereals and tubers,"Rice (ordinary, first quality)",45 KG,205.5,27.1108
2006-12-15,cereals and tubers,"Rice (ordinary, second quality)",46 KG,195.0,25.7256
2006-12-15,cereals and tubers,Sorghum,100 Pounds,102.58,13.533
2006-12-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,110.0,14.5119
2006-12-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,157.53,20.7823
2006-12-15,pulses and nuts,Beans (black),100 Pounds,264.6,34.9077
2006-12-15,pulses and nuts,Beans (black),45 KG,264.0,34.8285
2006-12-15,pulses and nuts,Beans (red),100 Pounds,294.33,38.8298
2006-12-15,pulses and nuts,Beans (white),100 Pounds,417.06,55.0211
2006-12-15,vegetables and fruits,"Avocados (Hass, medium size)",7 KG,69.5,9.1689
2006-12-15,vegetables and fruits,Bananas (medium size),100 Pounds,80.0,10.5541
2006-12-15,vegetables and fruits,Cabbage,27 KG,14.57,1.9222
2006-12-15,vegetables and fruits,Carrots,13.92 KG,23.93,3.157
2006-12-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,200.0,26.3852
2006-12-15,vegetables and fruits,Melons (cantaloupe),75 KG,252.78,33.3483
2006-12-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,25.43,3.3549
2006-12-15,vegetables and fruits,Pineapples,105 KG,177.15,23.3707
2006-12-15,vegetables and fruits,Plantains (big size),29 KG,83.93,11.0726
2006-12-15,vegetables and fruits,Plantains (medium size),20.5 KG,73.93,9.7533
2006-12-15,vegetables and fruits,Strawberries,40 Pounds,217.36,28.6755
2006-12-15,vegetables and fruits,Watermelons,177.35 KG,548.33,72.3391
2007-01-15,cereals and tubers,Maize (white),100 Pounds,104.77,13.6954
2007-01-15,cereals and tubers,Maize (yellow),100 Pounds,112.31,14.681
2007-01-15,cereals and tubers,Potatoes,100 Pounds,93.64,12.2399
2007-01-15,cereals and tubers,Rice (high quality),100 Pounds,216.15,28.2549
2007-01-15,cereals and tubers,Rice (medium quality),100 Pounds,203.08,26.5464
2007-01-15,cereals and tubers,"Rice (ordinary, first quality)",45 KG,216.15,28.2549
2007-01-15,cereals and tubers,"Rice (ordinary, second quality)",46 KG,203.08,26.5464
2007-01-15,cereals and tubers,Sorghum,100 Pounds,89.23,11.6641
2007-01-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,92.69,12.1163
2007-01-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,183.08,23.932
2007-01-15,pulses and nuts,Beans (black),100 Pounds,258.08,33.7359
2007-01-15,pulses and nuts,Beans (black),45 KG,258.08,33.7359
2007-01-15,pulses and nuts,Beans (red),100 Pounds,313.08,40.9255
2007-01-15,pulses and nuts,Beans (white),100 Pounds,388.46,50.7791
2007-01-15,vegetables and fruits,"Avocados (Hass, medium size)",7 KG,75.38,9.8536
2007-01-15,vegetables and fruits,Bananas (medium size),100 Pounds,79.23,10.3569
2007-01-15,vegetables and fruits,Cabbage,27 KG,16.31,2.132
2007-01-15,vegetables and fruits,Carrots,13.92 KG,26.15,3.4183
2007-01-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,307.69,40.2209
2007-01-15,vegetables and fruits,Melons (cantaloupe),75 KG,203.85,26.6471
2007-01-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,26.77,3.4993
2007-01-15,vegetables and fruits,Pineapples,105 KG,219.23,28.6575
2007-01-15,vegetables and fruits,Plantains (big size),29 KG,87.31,11.4131
2007-01-15,vegetables and fruits,Plantains (medium size),20.5 KG,76.54,10.0052
2007-01-15,vegetables and fruits,Watermelons,177.35 KG,538.46,70.3869
2007-02-15,cereals and tubers,Maize (white),100 Pounds,116.83,15.1925
2007-02-15,cereals and tubers,Maize (yellow),100 Pounds,110.83,14.4122
2007-02-15,cereals and tubers,Potatoes,100 Pounds,91.38,11.8823
2007-02-15,cereals and tubers,Rice (high quality),100 Pounds,220.0,28.6086
2007-02-15,cereals and tubers,Rice (medium quality),100 Pounds,206.67,26.8752
2007-02-15,cereals and tubers,"Rice (ordinary, first quality)",45 KG,220.0,28.6086
2007-02-15,cereals and tubers,"Rice (ordinary, second quality)",46 KG,206.67,26.8752
2007-02-15,cereals and tubers,Sorghum,100 Pounds,91.25,11.8661
2007-02-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,97.92,12.7334
2007-02-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,166.67,21.6736
2007-02-15,pulses and nuts,Beans (black),100 Pounds,249.17,32.4018
2007-02-15,pulses and nuts,Beans (black),45 KG,249.17,32.4018
2007-02-15,pulses and nuts,Beans (red),100 Pounds,317.08,41.2328
2007-02-15,pulses and nuts,Beans (white),100 Pounds,505.42,65.7243
2007-02-15,vegetables and fruits,"Avocados (Hass, medium size)",7 KG,75.0,9.7529
2007-02-15,vegetables and fruits,Bananas (medium size),100 Pounds,80.0,10.4031
2007-02-15,vegetables and fruits,Cabbage,27 KG,18.75,2.4382
2007-02-15,vegetables and fruits,Carrots,13.92 KG,30.42,3.9558
2007-02-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,344.17,44.7555
2007-02-15,vegetables and fruits,Melons (cantaloupe),75 KG,266.67,34.6775
2007-02-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,29.83,3.8791
2007-02-15,vegetables and fruits,Pineapples,105 KG,227.27,29.554
2007-02-15,vegetables and fruits,Plantains (big size),29 KG,88.33,11.4863
2007-02-15,vegetables and fruits,Plantains (medium size),20.5 KG,77.5,10.078
2007-02-15,vegetables and fruits,Watermelons,177.35 KG,420.83,54.7243
2007-03-15,cereals and tubers,Maize (white),100 Pounds,120.08,15.6558
2007-03-15,cereals and tubers,Maize (yellow),100 Pounds,112.31,14.6428
2007-03-15,cereals and tubers,Potatoes,100 Pounds,90.58,11.809
2007-03-15,cereals and tubers,Rice (high quality),100 Pounds,216.92,28.2816
2007-03-15,cereals and tubers,Rice (medium quality),100 Pounds,205.0,26.7275
2007-03-15,cereals and tubers,"Rice (ordinary, first quality)",45 KG,216.92,28.2816
2007-03-15,cereals and tubers,"Rice (ordinary, second quality)",46 KG,205.0,26.7275
2007-03-15,cereals and tubers,Sorghum,100 Pounds,97.69,12.7366
2007-03-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,72.69,9.4772
2007-03-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,156.15,20.3585
2007-03-15,pulses and nuts,Beans (black),100 Pounds,257.31,33.5476
2007-03-15,pulses and nuts,Beans (black),45 KG,257.31,33.5476
2007-03-15,pulses and nuts,Beans (red),100 Pounds,341.15,44.4785
2007-03-15,pulses and nuts,Beans (white),100 Pounds,496.92,64.7875
2007-03-15,vegetables and fruits,"Avocados (Hass, medium size)",7 KG,73.85,9.6284
2007-03-15,vegetables and fruits,Bananas (medium size),100 Pounds,80.0,10.4302
2007-03-15,vegetables and fruits,Cabbage,27 KG,28.08,3.661
2007-03-15,vegetables and fruits,Carrots,13.92 KG,35.38,4.6128
2007-03-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,338.46,44.1278
2007-03-15,vegetables and fruits,Melons (cantaloupe),75 KG,192.31,25.073
2007-03-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,29.85,3.8918
2007-03-15,vegetables and fruits,Pineapples,105 KG,211.54,27.5802
2007-03-15,vegetables and fruits,Plantains (big size),29 KG,85.38,11.1317
2007-03-15,vegetables and fruits,Plantains (medium size),20.5 KG,75.0,9.7784
2007-03-15,vegetables and fruits,Watermelons,177.35 KG,573.08,74.7171
2007-04-15,cereals and tubers,Maize (white),100 Pounds,115.7,15.0757
2007-04-15,cereals and tubers,Maize (yellow),100 Pounds,115.0,14.9845
2007-04-15,cereals and tubers,Potatoes,100 Pounds,98.0,12.7694
2007-04-15,cereals and tubers,Rice (high quality),100 Pounds,214.0,27.8842
2007-04-15,cereals and tubers,Rice (medium quality),100 Pounds,205.0,26.7115
2007-04-15,cereals and tubers,"Rice (ordinary, first quality)",45 KG,214.0,27.8842
2007-04-15,cereals and tubers,"Rice (ordinary, second quality)",46 KG,205.0,26.7115
2007-04-15,cereals and tubers,Sorghum,100 Pounds,95.5,12.4437
2007-04-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,80.0,10.424
2007-04-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,150.0,19.545
2007-04-15,pulses and nuts,Beans (black),100 Pounds,257.0,33.4871
2007-04-15,pulses and nuts,Beans (black),45 KG,257.0,33.4871
2007-04-15,pulses and nuts,Beans (red),100 Pounds,340.0,44.302
2007-04-15,pulses and nuts,Beans (white),100 Pounds,502.0,65.4106
2007-04-15,vegetables and fruits,"Avocados (Hass, medium size)",7 KG,84.0,10.9452
2007-04-15,vegetables and fruits,Bananas (medium size),100 Pounds,80.0,10.424
2007-04-15,vegetables and fruits,Cabbage,27 KG,29.0,3.7787
2007-04-15,vegetables and fruits,Carrots,13.92 KG,28.5,3.7136
2007-04-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,350.0,45.605
2007-04-15,vegetables and fruits,Melons (cantaloupe),75 KG,109.0,14.2027
2007-04-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,26.5,3.453
2007-04-15,vegetables and fruits,Pineapples,105 KG,200.0,26.06
2007-04-15,vegetables and fruits,Plantains (big size),29 KG,81.0,10.5543
2007-04-15,vegetables and fruits,Plantains (medium size),20.5 KG,71.0,9.2513
2007-04-15,vegetables and fruits,Watermelons,177.35 KG,530.0,69.059
2007-05-15,cereals and tubers,Maize (white),100 Pounds,116.15,15.2428
2007-05-15,cereals and tubers,Maize (yellow),100 Pounds,117.31,15.395
2007-05-15,cereals and tubers,Potatoes,100 Pounds,92.95,12.1982
2007-05-15,cereals and tubers,Rice (high quality),100 Pounds,220.0,28.8714
2007-05-15,cereals and tubers,Rice (medium quality),100 Pounds,210.0,27.5591
2007-05-15,cereals and tubers,"Rice (ordinary, first quality)",45 KG,220.0,28.8714
2007-05-15,cereals and tubers,"Rice (ordinary, second quality)",45 KG,210.0,27.5591
2007-05-15,cereals and tubers,Sorghum,100 Pounds,106.54,13.9816
2007-05-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,100.77,13.2244
2007-05-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,96.15,12.6181
2007-05-15,pulses and nuts,Beans (black),100 Pounds,250.77,32.9094
2007-05-15,pulses and nuts,Beans (black),45 KG,250.77,32.9094
2007-05-15,pulses and nuts,Beans (red),100 Pounds,344.23,45.1745
2007-05-15,pulses and nuts,Beans (white),100 Pounds,522.69,68.5945
2007-05-15,vegetables and fruits,"Avocados (Hass, medium size)",7 KG,83.85,11.0039
2007-05-15,vegetables and fruits,Bananas (medium size),100 Pounds,80.0,10.4987
2007-05-15,vegetables and fruits,Cabbage,27 KG,38.46,5.0472
2007-05-15,vegetables and fruits,Carrots,13.92 KG,31.15,4.0879
