,mes,ADM2_PCODE,n_pixels,lon,lat,precipitacion,tmin,tmax,mes_anterior,anio_anterior,vim,pred
66144,1,100,1.0,-90.5488776,14.43502924,11.957325000000004,14.573679,24.74914,0.5988333333333333,0.5084666666666667,0.5369666666666667,0.5693620384889648
66459,2,100,1.0,-90.5488776,14.43502924,3.7172377,15.223828,26.23391,0.5369666666666667,0.4558999999999999,0.4734666666666666,0.5138589907544582
66774,3,100,1.0,-90.5488776,14.43502924,8.406713,15.688089,26.767462,0.4734666666666666,0.4288333333333333,0.4367666666666667,0.46998761041894965
67089,4,100,1.0,-90.5488776,14.43502924,57.95502,17.49472,27.414968,0.4367666666666667,0.4519666666666667,0.4424333333333333,0.4667473406566066
67404,5,100,1.0,-90.5488776,14.43502924,286.0923,17.966017,25.950335,0.4424333333333333,0.5418666666666666,0.5126666666666667,0.5274058970618751
67719,6,100,1.0,-90.5488776,14.43502924,275.09027,17.304117,23.693872,0.5126666666666667,0.6407666666666666,0.6144,0.6053027722484327
68034,7,100,1.0,-90.5488776,14.43502924,236.86021,17.303347,24.243994,0.6144,0.6634000000000001,0.6713666666666667,0.6646415477362508
68349,8,100,1.0,-90.5488776,14.43502924,231.36366,17.056164,24.490015,0.6713666666666667,0.6686666666666667,0.6724333333333332,0.6960877624395385
68664,9,100,1.0,-90.5488776,14.43502924,451.72705,16.997255,24.763342,0.6724333333333332,0.6908,0.6532666666666667,0.7220184453706993
68979,10,100,1.0,-90.5488776,14.43502924,399.2447,16.797646,24.283987,0.6532666666666667,0.6942,0.6723,0.7094533737394066
69294,11,100,1.0,-90.5488776,14.43502924,103.67072,16.260347,23.683191,0.6723,0.6550333333333334,0.67,0.6820460720564133
69609,12,100,1.0,-90.5488776,14.43502924,17.985626,14.036799,23.2909,0.67,0.5988333333333333,0.6181,0.6474679737393298
69924,1,100,1.0,-90.5488776,14.43502924,14.406805,14.117933,23.90507,0.6181,0.5369666666666667,0.5412666666666667,0.5913192794144354
70239,2,100,1.0,-90.5488776,14.43502924,8.377712,13.799602,24.568937,0.5412666666666667,0.4734666666666666,0.4705,0.5231588270177638
70554,3,100,1.0,-90.5488776,14.43502924,4.8913717,15.29475,25.742395,0.4705,0.4367666666666667,0.4229333333333334,0.47290589663210064
70869,4,100,1.0,-90.5488776,14.43502924,69.21048,17.538656,25.614931,0.4229333333333334,0.4424333333333333,0.4241999999999999,0.4632449208721898
71184,5,100,1.0,-90.5488776,14.43502924,222.91057,17.411402,25.115103,0.4241999999999999,0.5126666666666667,0.5209,0.5027531526138477
71499,6,100,1.0,-90.5488776,14.43502924,476.01395,16.914328,24.234018,0.5209,0.6144,0.6269333333333332,0.6142711501025563
71814,7,100,1.0,-90.5488776,14.43502924,224.58342,16.90334,25.042704,0.6269333333333332,0.6713666666666667,0.6727333333333334,0.6689718487110291
72129,8,100,1.0,-90.5488776,14.43502924,337.37418,17.359312,23.546251,0.6727333333333334,0.6724333333333332,0.6890000000000001,0.7115290867749509
72444,9,100,1.0,-90.5488776,14.43502924,230.16753000000003,16.963982,24.82923,0.6890000000000001,0.6532666666666667,0.6856666666666666,0.6992425458185586
72759,10,100,1.0,-90.5488776,14.43502924,239.31488,17.154385,25.079712,0.6856666666666666,0.6723,0.6490666666666667,0.7049332080323257
73074,11,100,1.0,-90.5488776,14.43502924,9.898354,14.073308000000004,24.487434,0.6490666666666667,0.67,0.6116,0.65534684247452
73389,12,100,1.0,-90.5488776,14.43502924,9.35799,14.376519,24.04836,0.6116,0.6181,0.5569333333333334,0.6196857588139641
73704,1,100,1.0,-90.5488776,14.43502924,4.5075912,13.94575,24.321722,0.5569333333333334,0.5412666666666667,0.4862333333333333,0.5559892781997626
74019,2,100,1.0,-90.5488776,14.43502924,6.360456,13.945175,25.64089,0.4862333333333333,0.4705,0.4393666666666667,0.4882759356543104
74334,3,100,1.0,-90.5488776,14.43502924,17.023594,15.096157,27.09265,0.4393666666666667,0.4229333333333334,0.4233333333333333,0.4464078512957109
74649,4,100,1.0,-90.5488776,14.43502924,113.446625,16.040989,27.498594,0.4233333333333333,0.4241999999999999,0.4457333333333333,0.44858295768775464
74964,5,100,1.0,-90.5488776,14.43502924,355.28854,17.027288,26.239187,0.4457333333333333,0.5209,0.5222,0.523235811249517
75279,6,100,1.0,-90.5488776,14.43502924,493.92258,16.714457,22.878052,0.5222,0.6269333333333332,0.6190000000000001,0.6248393040791768
75594,7,100,1.0,-90.5488776,14.43502924,213.0768,16.234585,25.907705,0.6190000000000001,0.6727333333333334,0.6588666666666666,0.6585049124732834
75909,8,100,1.0,-90.5488776,14.43502924,299.09726,16.62976,25.332315,0.6588666666666666,0.6890000000000001,0.6624,0.6973031715243874
76224,9,100,1.0,-90.5488776,14.43502924,478.374,16.576057,24.323145,0.6624,0.6856666666666666,0.6519,0.716884273394198
76539,10,100,1.0,-90.5488776,14.43502924,188.04079,16.325521,24.547598,0.6519,0.6490666666666667,0.672,0.6726360239144649
76854,11,100,1.0,-90.5488776,14.43502924,145.78473,15.741870999999998,24.251413,0.672,0.6116,0.6644666666666666,0.666457448850235
77169,12,100,1.0,-90.5488776,14.43502924,10.174961,13.970491,22.91864,0.6644666666666666,0.5569333333333334,0.6066666666666666,0.6303378418734371
77484,1,100,1.0,-90.5488776,14.43502924,15.837652,13.84932,24.57099,0.6066666666666666,0.4862333333333333,0.5336333333333334,0.5642287570663427
77799,2,100,1.0,-90.5488776,14.43502924,3.670137200000001,14.238303,25.328074,0.5336333333333334,0.4393666666666667,0.4721666666666667,0.5057527749304973
78114,3,100,1.0,-90.5488776,14.43502924,46.006798,15.5147,26.278486,0.4721666666666667,0.4233333333333333,0.4494333333333333,0.4715937654638225
78429,4,100,1.0,-90.5488776,14.43502924,19.65018,15.488225,27.516363,0.4494333333333333,0.4457333333333333,0.4798,0.46042427170878975
78744,5,100,1.0,-90.5488776,14.43502924,139.99042,16.996338,27.835747,0.4798,0.5222,0.5557333333333333,0.5187063094384433
79059,6,100,1.0,-90.5488776,14.43502924,320.88364,17.646025,26.631392,0.5557333333333333,0.6190000000000001,0.6105666666666667,0.6164369149916522
79374,7,100,1.0,-90.5488776,14.43502924,287.40353,17.430347,25.808847,0.6105666666666667,0.6588666666666666,0.6363666666666666,0.6601774515287391
79689,8,100,1.0,-90.5488776,14.43502924,219.57806,17.702951,26.004732,0.6363666666666666,0.6624,0.6506666666666666,0.6706765399395651
80004,9,100,1.0,-90.5488776,14.43502924,293.25278,17.49218,26.613016,0.6506666666666666,0.6519,0.6763333333333333,0.678576587921707
80319,10,100,1.0,-90.5488776,14.43502924,304.19638,17.17618,25.10272,0.6763333333333333,0.672,0.6996666666666668,0.7051192949064161
80634,11,100,1.0,-90.5488776,14.43502924,26.900576,16.117,25.077637,0.6996666666666668,0.6644666666666666,0.6749666666666667,0.6885485630160381
80949,12,100,1.0,-90.5488776,14.43502924,1.1126181,14.422686,24.521109,0.6749666666666667,0.6066666666666666,0.5920666666666667,0.6486369681123964
66145,1,101,6.0,-90.47941810000002,14.63543071,7.3133545,14.204448,23.774446,0.4883999999999999,0.4056,0.4476,0.47479976350745406
